Date,Open,High,Low,Close,Adj Close,Volume
2019-05-02,46.00000,72.95000,45.00000,65.75000,65.75000,23119000
2019-05-03,72.00000,74.00000,65.66000,66.79000,66.79000,13139400
2019-05-06,62.73000,74.84000,62.50000,74.79000,74.79000,8746200
2019-05-07,77.14000,85.45000,75.00000,79.17000,79.17000,16532100
2019-05-08,83.61000,85.38000,70.78500,72.25000,72.25000,14711800
2019-05-09,70.50000,73.20000,67.10000,68.27000,68.27000,6284500
2019-05-10,69.09000,69.33200,61.60000,66.22000,66.22000,4888000
2019-05-13,65.46000,71.96000,63.36000,69.50000,69.50000,4784500
2019-05-14,72.48000,80.75000,71.12000,79.68000,79.68000,7079600
2019-05-15,79.00000,93.00000,74.55000,86.92000,86.92000,18356200
2019-05-16,90.10000,96.78500,89.51000,92.92000,92.92000,13900300
2019-05-17,92.46000,96.68000,85.71000,89.35000,89.35000,10724100
2019-05-20,88.90000,90.96000,83.13000,86.09000,86.09000,5189700
2019-05-21,88.03000,88.75000,76.76000,77.50000,77.50000,9065100
2019-05-22,77.38000,81.74000,77.00000,77.63000,77.63000,3898400
2019-05-23,79.40000,83.80000,78.12300,82.10000,82.10000,4331300
2019-05-24,83.92000,85.50000,79.51000,79.67000,79.67000,2909500
2019-05-28,83.98000,88.83000,83.70000,86.00000,86.00000,6604000
2019-05-29,90.05000,97.65000,87.32000,97.50000,97.50000,8372000
2019-05-30,101.89700,105.25000,94.03000,98.59000,98.59000,12359800
2019-05-31,100.00000,104.55000,97.26000,104.12000,104.12000,7733900
2019-06-03,104.14000,108.67000,95.66200,96.16000,96.16000,8027700
2019-06-04,101.25000,103.50000,97.82000,103.41000,103.41000,5484900
2019-06-05,105.50000,105.50000,99.64000,102.60000,102.60000,4283500
2019-06-06,102.00000,102.25000,98.85000,99.50000,99.50000,6484000
2019-06-07,130.00000,149.46001,120.76000,138.64999,138.64999,23916700
2019-06-10,155.70000,186.42999,147.00000,168.10001,168.10001,24986000
2019-06-11,145.25000,150.00000,125.23000,126.04000,126.04000,15516000
2019-06-12,133.99001,150.45000,131.56300,141.97000,141.97000,16918600
2019-06-13,141.52000,146.45000,134.25000,141.39000,141.39000,9474600
