Date,Open,High,Low,Close,Adj Close,Volume
2017-05-31,45.43000,45.70000,45.37000,45.47000,39.87034,14148000
2017-06-01,45.45000,45.79000,45.23000,45.79000,40.15092,11049300
2017-06-02,45.83000,45.89000,45.61000,45.89000,40.23862,9923700
2017-06-05,45.78000,45.99000,45.69000,45.99000,40.32630,10015200
2017-06-06,45.90000,46.06000,45.78000,45.98000,40.31754,9836700
2017-06-07,45.50000,45.70000,45.35000,45.51000,39.90541,12776300
2017-06-08,45.51000,45.51000,45.03000,45.13000,39.57221,12879000
2017-06-09,45.06000,45.35000,44.97000,45.32000,39.73882,9358800
2017-06-12,45.32000,45.48000,45.20000,45.33000,39.74758,11228500
2017-06-13,45.00000,45.11000,44.80000,45.03000,39.80946,10023400
2017-06-14,45.18000,45.47000,45.16000,45.30000,40.04816,11497500
2017-06-15,45.18000,45.34000,45.04000,45.25000,40.00396,9908700
2017-06-16,45.31000,45.35000,45.01000,45.31000,40.05700,27025300
2017-06-19,45.35000,45.38000,45.10000,45.38000,40.11889,7624700
2017-06-20,45.35000,45.87000,45.32000,45.61000,40.32222,14920900
2017-06-21,45.62000,45.68000,45.17000,45.22000,39.97744,9515800
2017-06-22,45.17000,45.28000,45.03000,45.07000,39.84483,7446300
2017-06-23,45.05000,45.38000,45.03000,45.25000,40.00396,9544800
2017-06-26,45.32000,45.51000,45.30000,45.43000,40.16309,7747100
2017-06-27,45.34000,45.40000,45.00000,45.05000,39.82714,11432200
2017-06-28,45.25000,45.50000,45.23000,45.32000,40.06585,9218800
2017-06-29,45.13000,45.24000,44.65000,44.83000,39.63265,9283500
2017-06-30,44.89000,45.12000,44.85000,44.85000,39.65033,9352800
2017-07-03,45.11000,45.27000,44.76000,44.76000,39.57076,6434500
2017-07-05,44.79000,44.99000,44.73000,44.82000,39.62381,6853600
2017-07-06,44.72000,44.85000,44.29000,44.40000,39.25251,13113000
2017-07-07,44.47000,44.52000,44.24000,44.39000,39.24366,9566000
2017-07-10,44.45000,44.58000,44.23000,44.38000,39.23483,9672000
2017-07-11,44.32000,44.48000,44.15000,44.33000,39.19062,10300700
2017-07-12,44.59000,44.77000,44.44000,44.51000,39.34975,7737400
2017-07-13,44.49000,44.53000,44.37000,44.43000,39.27902,6371900
2017-07-14,44.52000,44.72000,44.50000,44.68000,39.50004,8558700
2017-07-17,44.66000,44.79000,44.61000,44.73000,39.54424,7189200
2017-07-18,44.78000,44.85000,44.62000,44.67000,39.49120,9037200
2017-07-19,44.67000,44.84000,44.55000,44.83000,39.63265,6986900
2017-07-20,44.90000,44.98000,44.75000,44.82000,39.62381,7430300
2017-07-21,44.78000,45.07000,44.67000,45.03000,39.80946,8545600
2017-07-24,45.04000,45.05000,44.83000,44.84000,39.64149,9103600
