Date,Open,High,Low,Close,Adj Close,Volume
2017-05-31,123.64000,124.17500,122.00000,122.46000,122.46000,11582200
2017-06-01,122.82000,124.00000,122.26000,123.97000,123.97000,8901400
2017-06-02,123.72000,124.53000,123.24000,124.13000,124.13000,7342100
2017-06-05,124.02000,125.56000,123.87000,125.37000,125.37000,10030600
2017-06-06,125.37000,126.20000,124.27000,124.62000,124.62000,9257100
2017-06-07,125.08000,125.91000,124.11000,125.64000,125.64000,9431600
2017-06-08,142.50999,143.70000,135.21001,142.34000,142.34000,81381500
2017-06-09,142.34000,148.28999,137.00999,139.44000,139.44000,54367400
2017-06-12,139.17000,139.39000,136.05000,139.08000,139.08000,32177600
2017-06-13,141.88000,142.24400,135.89999,136.60001,136.60001,40879600
2017-06-14,137.80000,139.25000,135.25999,136.67000,136.67000,32862000
2017-06-15,135.64000,135.67000,133.10001,135.08000,135.08000,30510400
2017-06-16,136.28000,136.50000,133.55000,134.87000,134.87000,36431300
2017-06-19,137.81000,140.39999,137.39999,139.47000,139.47000,24951600
2017-06-20,140.08000,140.63000,137.92999,138.38000,138.38000,20580500
2017-06-21,138.82001,143.50000,138.02000,143.28999,143.28999,30911600
2017-06-22,142.05000,144.67999,140.88000,142.27000,142.27000,21897600
2017-06-23,142.10001,143.34000,141.60001,143.00999,143.00999,11759000
2017-06-26,144.03000,145.36000,141.27000,142.73000,142.73000,17828100
2017-06-27,143.89999,144.38000,141.10001,141.53000,141.53000,17374800
2017-06-28,142.64999,144.37000,141.48000,143.95000,143.95000,17759800
2017-06-29,143.16000,143.56000,137.52000,140.81000,140.81000,24130300
2017-06-30,141.03000,142.38000,139.92000,140.89999,140.89999,12276700
2017-07-03,141.75000,142.49001,139.49500,140.99001,140.99001,6975700
2017-07-05,141.16000,145.00000,140.33000,144.87000,144.87000,16995800
2017-07-06,143.00999,143.62000,141.83000,142.20000,142.20000,11934200
2017-07-07,142.64999,143.37900,141.83099,142.42999,142.42999,8046200
