Date,Open,High,Low,Close,Adj Close,Volume
2017-05-31,10.65000,10.73000,10.44000,10.57000,10.57000,6540900
2017-06-01,10.66000,11.74000,10.65000,11.39000,11.39000,36840600
2017-06-02,11.46000,11.48000,10.90000,11.29000,11.29000,22925300
2017-06-05,11.36000,11.44000,11.07000,11.15000,11.15000,10889300
2017-06-06,11.03000,11.29000,10.98000,11.15000,11.15000,8152100
2017-06-07,11.19000,11.34000,11.00000,11.04000,11.04000,8397900
2017-06-08,11.05000,11.19000,10.97000,11.17000,11.17000,5748300
2017-06-09,11.27000,11.63000,10.78000,11.03000,11.03000,16248400
2017-06-12,11.09000,11.09000,10.56000,10.60000,10.60000,12574800
2017-06-13,10.71000,10.86000,10.59000,10.84000,10.84000,5072200
2017-06-14,10.93000,10.93000,10.45000,10.57000,10.57000,5495800
2017-06-15,10.45000,10.54000,10.34000,10.54000,10.54000,5036900
2017-06-16,10.50000,10.66000,10.44000,10.53000,10.53000,4634000
2017-06-19,10.63000,10.83000,10.59000,10.74000,10.74000,5546200
2017-06-20,10.76000,10.87000,10.65000,10.73000,10.73000,4175300
2017-06-21,10.78000,10.79000,10.52000,10.65000,10.65000,7015400
2017-06-22,10.72000,11.14000,10.46000,11.06000,11.06000,17370000
2017-06-23,10.21000,10.27000,9.62000,9.71000,9.71000,39609800
2017-06-26,9.60000,10.32000,9.52000,10.27000,10.27000,19926200
2017-06-27,10.10000,10.42000,9.97000,9.99000,9.99000,12184100
2017-06-28,10.08000,10.30000,10.04000,10.23000,10.23000,7327700
2017-06-29,10.22000,10.23000,9.90000,10.00000,10.00000,7917200
2017-06-30,10.08000,10.08000,9.80000,9.99000,9.99000,5770300
2017-07-03,9.98000,10.11000,9.90000,9.91000,9.91000,2265500
2017-07-05,9.90000,9.90000,9.69000,9.90000,9.90000,6879400
2017-07-06,9.85000,9.88000,9.70000,9.71000,9.71000,4121100
2017-07-07,9.73000,9.93000,9.73000,9.90000,9.90000,4338200
2017-07-10,9.90000,9.93000,9.76000,9.86000,9.86000,3455800
2017-07-11,9.85000,9.95000,9.79000,9.94000,9.94000,3233300
2017-07-12,10.00000,10.04000,9.89000,9.90000,9.90000,3880000
2017-07-13,9.88000,9.96000,9.82000,9.89000,9.89000,2697700
2017-07-14,9.89000,10.05000,9.89000,9.97000,9.97000,3349800
2017-07-17,10.00000,10.00000,9.86000,9.94000,9.94000,2671900
2017-07-18,9.95000,9.99000,9.78000,9.88000,9.88000,3216100
2017-07-19,9.93000,10.24000,9.82000,10.14000,10.14000,6303300
2017-07-20,10.33000,10.38000,10.09000,10.13000,10.13000,4864200
2017-07-21,10.13000,10.17000,10.00000,10.04000,10.04000,3360700
2017-07-24,10.02000,10.14000,9.95000,10.09000,10.09000,3129700
2017-07-25,10.06000,10.07000,9.85000,9.98000,9.98000,5087000
2017-07-26,9.99000,10.00000,9.87000,9.87000,9.87000,3888700
2017-07-27,9.89000,9.91000,9.57000,9.74000,9.74000,4754700
2017-07-28,9.72000,9.75000,9.63000,9.72000,9.72000,2903900
2017-07-31,9.69000,9.78000,9.37000,9.38000,9.38000,5809800
2017-08-01,9.38000,9.55000,9.38000,9.51000,9.51000,2668500
2017-08-02,9.49000,9.60000,9.38000,9.50000,9.50000,2455300
2017-08-03,9.50000,9.55000,9.41000,9.42000,9.42000,2346300
2017-08-04,9.45000,9.47000,9.32000,9.44000,9.44000,2860500
2017-08-07,9.21000,9.29000,9.02000,9.10000,9.10000,5968500
2017-08-08,9.15000,9.17000,8.97000,9.03000,9.03000,4473800
2017-08-09,8.91000,9.03000,8.86000,8.95000,8.95000,3349000
2017-08-10,8.86000,8.95000,8.70000,8.73000,8.73000,4087400
2017-08-11,8.71000,8.88000,8.69000,8.78000,8.78000,2997100
2017-08-14,8.83000,9.00000,8.79000,8.95000,8.95000,2693400
2017-08-15,8.97000,9.01000,8.80000,8.82000,8.82000,3952400
2017-08-16,8.90000,8.91000,8.81000,8.83000,8.83000,3874500
2017-08-17,8.81000,8.90000,8.69000,8.72000,8.72000,5144000
2017-08-18,8.74000,8.77000,8.63000,8.68000,8.68000,4295900
2017-08-21,8.62000,8.68000,8.47000,8.58000,8.58000,5013400
2017-08-22,8.67000,8.89000,8.67000,8.79000,8.79000,3311800
2017-08-23,8.75000,8.85000,8.73000,8.83000,8.83000,1822400
2017-08-24,8.89000,8.99000,8.81000,8.95000,8.95000,2581400
2017-08-25,8.96000,9.03000,8.90000,8.99000,8.99000,3513700
2017-08-28,8.98000,9.02000,8.85000,8.99000,8.99000,2228100
2017-08-29,8.92000,9.07000,8.85000,9.03000,9.03000,3492100
2017-08-30,9.04000,9.11000,9.00000,9.07000,9.07000,4106600
2017-08-31,9.09000,9.30000,9.07000,9.27000,9.27000,3091600
2017-09-01,9.33000,9.33000,9.16000,9.18000,9.18000,3625600
2017-09-05,9.07000,9.10000,8.89000,9.01000,9.01000,3549300
2017-09-06,9.01000,9.15000,8.97000,9.06000,9.06000,2268400
2017-09-07,9.07000,9.15000,9.04000,9.11000,9.11000,1699600
2017-09-08,9.10000,9.12000,9.00000,9.01000,9.01000,1488800
2017-09-11,9.06000,9.17000,9.05000,9.16000,9.16000,2221900
2017-09-12,9.10000,9.32000,9.03000,9.28000,9.28000,2175000
2017-09-13,9.31000,9.34000,9.14000,9.18000,9.18000,2802900
2017-09-14,9.13000,9.31000,9.09000,9.27000,9.27000,1920400
2017-09-15,9.28000,9.35000,9.22000,9.27000,9.27000,2951900
2017-09-18,9.30000,9.35000,9.24000,9.26000,9.26000,2966000
2017-09-19,9.26000,9.31000,9.11000,9.14000,9.14000,4285200
2017-09-20,9.15000,9.95000,9.07000,9.85000,9.85000,22585600
2017-09-21,9.84000,9.86000,9.55000,9.61000,9.61000,8271000
2017-09-22,9.58000,9.63000,9.12000,9.13000,9.13000,13302100
2017-09-25,9.14000,9.23000,9.07000,9.14000,9.14000,5663200
2017-09-26,9.18000,9.25000,9.11000,9.14000,9.14000,3113300
2017-09-27,9.14000,9.31000,9.14000,9.23000,9.23000,7518400
2017-09-28,9.88000,10.83000,9.78000,10.47000,10.47000,48211300
2017-09-29,10.44000,11.34000,10.41000,11.18000,11.18000,37658100
2017-10-02,11.13000,11.52000,11.07000,11.34000,11.34000,17449700
2017-10-03,11.32000,11.38000,11.04000,11.12000,11.12000,12461700
2017-10-04,11.00000,11.14000,10.91000,11.08000,11.08000,8385600
2017-10-05,11.02000,11.20000,10.98000,11.02000,11.02000,4402800
2017-10-06,11.05000,11.11000,10.95000,11.07000,11.07000,3098400
2017-10-09,11.09000,11.54000,11.06000,11.27000,11.27000,6470100
2017-10-10,11.32000,11.49000,11.26000,11.34000,11.34000,6126900
2017-10-11,11.44000,11.45000,11.33000,11.39000,11.39000,3804700
2017-10-12,11.47000,11.55000,11.34000,11.49000,11.49000,4778400
2017-10-13,11.49000,11.78000,11.46000,11.57000,11.57000,8264100
2017-10-16,11.77000,11.77000,11.35000,11.37000,11.37000,4060300
2017-10-17,11.37000,11.43000,11.14000,11.27000,11.27000,5185000
2017-10-18,11.26000,11.35000,11.24000,11.25000,11.25000,2538800
2017-10-19,11.19000,11.27000,11.06000,11.23000,11.23000,3165800
2017-10-20,11.18000,11.25000,11.07000,11.12000,11.12000,4526400
2017-10-23,11.12000,11.18000,10.99000,11.00000,11.00000,3626700
2017-10-24,11.01000,11.10000,10.97000,11.02000,11.02000,3680500
2017-10-25,11.06000,11.10000,10.73000,10.75000,10.75000,4471000
2017-10-26,10.75000,10.80000,10.67000,10.74000,10.74000,2933300
2017-10-27,10.69000,10.74000,10.64000,10.69000,10.69000,2554100
2017-10-30,10.67000,11.09000,10.65000,11.09000,11.09000,4108600
2017-10-31,11.07000,11.13000,10.89000,10.94000,10.94000,3399200
2017-11-01,10.97000,11.04000,10.77000,10.78000,10.78000,2337600
2017-11-02,10.78000,10.84000,10.70000,10.71000,10.71000,2097800
2017-11-03,10.77000,11.12000,10.65000,10.95000,10.95000,6405200
2017-11-06,11.03000,11.04000,10.86000,10.97000,10.97000,1884700
2017-11-07,10.92000,10.99000,10.77000,10.83000,10.83000,2041300
2017-11-08,10.85000,10.90000,10.75000,10.82000,10.82000,1443300
2017-11-09,10.80000,10.84000,10.69000,10.76000,10.76000,1776700
2017-11-10,10.70000,10.87000,10.66000,10.78000,10.78000,1804200
2017-11-13,10.72000,10.77000,10.64000,10.69000,10.69000,2337300
2017-11-14,10.63000,10.68000,10.36000,10.40000,10.40000,3468900
2017-11-15,10.31000,10.37000,10.06000,10.33000,10.33000,5503000
2017-11-16,10.38000,10.53000,10.37000,10.38000,10.38000,2124800
2017-11-17,10.39000,10.41000,10.20000,10.30000,10.30000,2753200
2017-11-20,10.28000,10.30000,10.23000,10.24000,10.24000,1704800
2017-11-21,10.24000,10.67000,10.24000,10.54000,10.54000,4253000
2017-11-22,10.60000,10.78000,10.58000,10.73000,10.73000,2865100
2017-11-24,10.70000,10.80000,10.70000,10.79000,10.79000,1054900
2017-11-27,10.73000,10.93000,10.71000,10.88000,10.88000,2203100
2017-11-28,10.87000,11.04000,10.87000,10.93000,10.93000,2993600
2017-11-29,10.92000,10.94000,10.55000,10.65000,10.65000,3238400
2017-11-30,10.69000,10.82000,10.63000,10.77000,10.77000,2199100
2017-12-01,10.85000,10.85000,10.60000,10.79000,10.79000,2876100
2017-12-04,10.82000,10.90000,10.44000,10.44000,10.44000,3351500
2017-12-05,10.47000,10.61000,10.34000,10.34000,10.34000,2838700
2017-12-06,10.33000,10.33000,10.13000,10.21000,10.21000,3528700
2017-12-07,10.34000,10.36000,10.23000,10.29000,10.29000,2352700
2017-12-08,10.33000,10.37000,10.22000,10.25000,10.25000,2884500
2017-12-11,10.33000,10.58000,10.28000,10.56000,10.56000,3513400
