Date,Open,High,Low,Close,Adj Close,Volume
2017-05-31,108.40000,108.65000,107.64000,107.94000,103.36553,9963600
2017-06-01,107.73000,108.21000,107.17000,108.21000,103.62408,5907400
2017-06-02,108.46000,108.64000,106.95000,107.18000,102.63773,10876900
2017-06-05,107.04000,107.22000,106.11000,106.52000,102.00571,6372800
2017-06-06,106.17000,106.19000,104.61000,105.50000,101.02894,9589500
2017-06-07,105.79000,106.25000,105.54000,105.92000,101.43113,5777700
2017-06-08,105.92000,105.92000,104.16000,104.32000,99.89895,11002400
2017-06-09,104.28000,105.92000,104.08000,105.62000,101.14384,9392500
2017-06-12,105.62000,107.20000,105.62000,107.04000,102.50367,8049500
2017-06-13,107.14000,107.26000,106.16000,106.56000,102.04402,4918900
2017-06-14,106.95000,107.01000,105.76000,106.14000,101.64182,4781100
2017-06-15,105.94000,106.16000,105.23000,105.98000,101.48860,5309900
2017-06-16,106.28000,106.35000,104.77000,105.51000,101.03852,8683400
2017-06-19,105.60000,106.00000,105.19000,105.37000,100.90445,5956200
2017-06-20,105.07000,105.30000,103.81000,103.94000,99.53505,7895700
2017-06-21,104.39000,105.08000,103.54000,104.80000,100.35860,7765700
2017-06-22,104.71000,104.77000,104.09000,104.22000,99.80319,6156000
2017-06-23,103.83000,104.58000,103.17000,104.36000,99.93725,18147900
2017-06-26,104.60000,105.85000,104.56000,105.57000,101.09598,5867000
2017-06-27,105.33000,106.15000,105.14000,105.41000,100.94276,5694500
2017-06-28,106.02000,107.54000,104.52000,106.86000,102.33131,7874400
2017-06-29,106.80000,107.41000,105.33000,105.71000,101.23003,7268700
2017-06-30,106.25000,106.56000,105.50000,106.25000,101.74715,5113800
2017-07-03,106.76000,108.62000,106.76000,107.46000,102.90588,5399400
2017-07-05,107.83000,107.85000,105.29000,105.63000,101.15342,8049700
2017-07-06,104.61000,104.69000,102.94000,103.35000,99.70631,8690800
2017-07-07,103.51000,103.73000,102.72000,103.32000,99.67736,6030900
2017-07-10,103.30000,103.91000,102.87000,103.59000,99.93785,4421300
2017-07-11,103.60000,104.19000,103.19000,103.84000,100.17902,4557300
2017-07-12,104.34000,104.65000,103.65000,104.38000,100.70000,5203300
2017-07-13,104.45000,105.34000,104.04000,104.29000,100.61317,5339500
2017-07-14,104.43000,105.25000,104.41000,105.09000,101.38496,4370300
2017-07-17,105.17000,105.42000,104.71000,104.79000,101.09554,3973800
2017-07-18,104.60000,105.80000,104.31000,105.75000,102.02169,5740500
2017-07-19,106.13000,106.87000,106.05000,106.82000,103.05396,5789400
2017-07-20,106.99000,107.71000,106.75000,107.36000,103.57494,6185500
2017-07-21,107.10000,107.33000,106.81000,107.09000,103.31445,4328500
2017-07-24,107.31000,107.54000,106.90000,107.00000,103.22763,4615500
2017-07-25,107.60000,107.74000,106.20000,106.42000,102.66807,5394700
2017-07-26,106.55000,107.03000,106.31000,106.94000,103.16974,4149000
2017-07-27,107.69000,110.00000,107.44000,110.00000,106.12186,10468700
2017-07-28,109.98000,110.19000,109.67000,109.96000,106.08327,4864500
2017-07-31,110.02000,110.14000,109.34000,109.93000,106.05432,6815300
2017-08-01,109.98000,110.83000,109.95000,110.61000,106.71036,5987200
2017-08-02,109.88000,109.88000,107.52000,108.67000,104.83875,8812700
2017-08-03,108.52000,109.17000,108.05000,109.12000,105.27289,6895800
2017-08-04,108.23000,108.50000,107.32000,107.69000,103.89330,8503800
2017-08-07,107.59000,107.65000,106.11000,106.35000,102.60053,8093100
2017-08-08,106.55000,107.14000,106.18000,106.98000,103.20833,9787100
2017-08-09,100.71000,103.00000,100.50000,102.83000,99.20464,27877600
2017-08-10,102.50000,102.82000,101.22000,101.35000,97.77682,12259900
2017-08-11,101.25000,102.51000,101.03000,101.99000,98.39426,9410400
2017-08-14,102.80000,102.81000,101.26000,101.40000,97.82506,9707300
2017-08-15,101.63000,102.10000,101.36000,101.51000,97.93118,8868500
2017-08-16,101.84000,102.65000,101.72000,102.20000,98.59685,6698800
2017-08-17,102.24000,102.59000,101.34000,101.38000,97.80576,6612400
2017-08-18,101.32000,101.74000,100.66000,100.70000,97.14973,6893900
2017-08-21,100.64000,101.42000,100.53000,101.17000,97.60316,6492700
2017-08-22,101.41000,102.91000,101.17000,102.77000,99.14675,6888700
2017-08-23,102.48000,102.98000,101.48000,101.50000,97.92153,5954400
2017-08-24,101.82000,102.03000,101.43000,101.52000,97.94083,6976600
2017-08-25,101.69000,102.69000,101.56000,102.41000,98.79945,6186900
2017-08-28,102.49000,102.85000,102.08000,102.56000,98.94415,5630400
2017-08-29,102.00000,102.99000,101.82000,102.57000,98.95380,6011700
2017-08-30,102.48000,103.45000,102.48000,102.87000,99.24323,6573200
2017-08-31,103.00000,103.19000,101.00000,101.20000,97.63211,9823800
2017-09-01,101.65000,101.92000,101.36000,101.50000,97.92153,7827400
2017-09-05,102.00000,102.55000,100.90000,101.60000,98.01801,9346100
2017-09-06,101.76000,102.04000,100.89000,101.50000,97.92153,7531000
2017-09-07,101.55000,101.86000,96.20000,97.06000,93.63807,26419400
2017-09-08,96.49000,97.49000,96.26000,97.07000,93.64771,13147700
2017-09-11,97.90000,98.02000,96.96000,97.09000,93.66701,9610300
2017-09-12,97.59000,98.36000,97.13000,97.89000,94.43880,9151700
2017-09-13,98.24000,98.95000,98.02000,98.82000,95.33601,7615300
2017-09-14,98.79000,98.84000,97.54000,97.90000,94.44846,9710000
2017-09-15,98.05000,98.93000,98.00000,98.52000,95.04659,23870300
2017-09-18,98.39000,98.72000,97.72000,98.10000,94.64140,7013600
2017-09-19,98.23000,98.67000,98.08000,98.43000,94.95976,6970300
2017-09-20,98.76000,99.28000,98.62000,99.21000,95.71227,6459100
2017-09-21,99.19000,99.39000,98.75000,98.89000,95.40355,4958000
2017-09-22,98.55000,98.99000,98.53000,98.60000,95.12377,6359100
2017-09-25,98.60000,99.65000,98.42000,99.57000,96.05958,7492500
2017-09-26,99.64000,99.74000,98.61000,98.63000,95.15271,6220500
2017-09-27,98.97000,99.53000,98.02000,99.24000,95.74121,7596600
2017-09-28,98.77000,99.05000,98.00000,98.05000,94.59316,7149600
2017-09-29,97.89000,98.59000,97.66000,98.57000,95.09483,8185900
2017-10-02,99.31000,100.44000,99.11000,99.86000,96.33936,6923300
2017-10-03,100.05000,100.85000,99.91000,100.79000,97.23656,5447700
2017-10-04,100.74000,100.93000,100.20000,100.55000,97.00503,5126100
2017-10-05,100.64000,100.87000,100.02000,100.11000,96.58054,4736700
2017-10-06,99.95000,100.27000,99.34000,100.07000,96.54194,4360200
2017-10-09,100.81000,100.98000,99.45000,99.57000,96.05958,5429600
2017-10-10,99.99000,100.07000,98.66000,99.58000,96.06923,7704400
2017-10-11,99.58000,99.58000,98.05000,98.55000,95.07554,7984000
2017-10-12,97.56000,97.82000,96.81000,96.93000,93.51265,11018200
2017-10-13,96.80000,97.68000,96.80000,97.38000,93.94678,6858000
2017-10-16,97.64000,98.27000,97.54000,98.13000,94.67033,4911600
2017-10-17,98.40000,98.47000,97.86000,98.36000,94.89224,5942500
2017-10-18,98.36000,98.49000,97.55000,98.25000,94.78612,5404300
2017-10-19,98.19000,99.30000,98.11000,99.01000,95.51933,5634300
2017-10-20,99.45000,99.66000,98.94000,99.40000,95.89558,5938700
2017-10-23,99.12000,99.18000,98.63000,98.70000,95.22025,5888200
2017-10-24,98.52000,98.86000,98.06000,98.29000,94.82470,4966200
2017-10-25,98.05000,98.22000,97.45000,97.80000,94.35197,5144400
2017-10-26,97.58000,99.48000,97.25000,98.56000,95.08518,6167500
2017-10-27,97.90000,98.36000,96.89000,98.31000,94.84400,7868700
2017-10-30,98.12000,98.33000,97.70000,98.04000,94.58351,7093200
2017-10-31,97.94000,98.09000,97.38000,97.81000,94.36163,5701700
2017-11-01,98.13000,99.46000,98.00000,99.03000,95.53860,6920400
2017-11-02,98.87000,99.12000,98.02000,98.35000,94.88259,6799200
2017-11-03,98.36000,99.38000,97.90000,98.64000,95.16237,5416900
2017-11-06,98.37000,101.13000,98.35000,100.64000,97.09185,14728700
2017-11-07,101.29000,102.90000,100.74000,101.61000,98.02766,12177500
2017-11-08,101.88000,102.00000,100.42000,101.18000,97.61281,8023200
2017-11-09,100.83000,103.91000,100.80000,102.68000,99.05992,13172500
2017-11-10,104.99000,106.24000,104.08000,104.78000,101.08589,16701500
2017-11-13,104.14000,105.14000,103.98000,104.74000,101.04730,7856000
2017-11-14,104.57000,104.57000,103.00000,103.17000,99.53265,6929300
2017-11-15,102.75000,103.96000,102.45000,103.69000,100.03432,5691500
2017-11-16,103.63000,103.98000,102.76000,103.60000,99.94749,6410900
2017-11-17,103.22000,103.99000,102.97000,103.44000,99.79313,7500800
2017-11-20,103.42000,103.42000,102.70000,102.75000,99.12746,5112600
2017-11-21,102.97000,103.17000,102.79000,103.00000,99.36864,5725900
2017-11-22,103.22000,103.32000,102.69000,102.74000,99.11781,4140700
2017-11-24,102.91000,102.92000,102.45000,102.64000,99.02133,2217600
2017-11-27,102.63000,102.97000,102.38000,102.79000,99.16605,4007500
