Date,Open,High,Low,Close,Adj Close,Volume
2017-05-31,70.53000,70.74000,69.81000,69.84000,65.95005,30436400
2017-06-01,70.24000,70.61000,69.45000,70.10000,66.19558,21603600
2017-06-02,70.44000,71.86000,70.24000,71.76000,67.76314,34770300
2017-06-05,71.97000,72.89000,71.81000,72.28000,68.25415,33316800
2017-06-06,72.30000,72.62000,72.27000,72.52000,68.48079,31511100
2017-06-07,72.64000,72.77000,71.95000,72.39000,68.35804,22301800
2017-06-08,72.51000,72.52000,71.50000,71.95000,67.94254,24588300
2017-06-09,72.04000,72.08000,68.59000,70.32000,66.40334,49187400
2017-06-12,69.25000,69.94000,68.13000,69.78000,65.89341,47761700
2017-06-13,70.02000,70.82000,69.96000,70.65000,66.71494,25258600
2017-06-14,70.91000,71.10000,69.43000,70.27000,66.35612,25510700
2017-06-15,69.27000,70.21000,68.80000,69.90000,66.00673,26068700
2017-06-16,69.73000,70.03000,69.22000,70.00000,66.10117,48345100
2017-06-19,70.50000,70.94000,70.35000,70.87000,66.92268,23798300
2017-06-20,70.82000,70.87000,69.87000,69.91000,66.01616,21512200
2017-06-21,70.21000,70.62000,69.94000,70.27000,66.35612,19891100
2017-06-22,70.54000,70.59000,69.71000,70.26000,66.34667,22965700
2017-06-23,70.09000,71.25000,69.92000,71.21000,67.24377,27617300
2017-06-26,71.40000,71.71000,70.44000,70.53000,66.60162,19607000
2017-06-27,70.11000,70.18000,69.18000,69.21000,65.35515,25215100
2017-06-28,69.21000,69.84000,68.79000,69.80000,65.91231,25806200
2017-06-29,69.38000,69.49000,68.09000,68.49000,64.67526,28918700
2017-06-30,68.78000,69.38000,68.74000,68.93000,65.09074,24161100
2017-07-03,69.33000,69.60000,68.02000,68.17000,64.37306,16165500
2017-07-05,68.26000,69.44000,68.22000,69.08000,65.23240,21176300
2017-07-06,68.27000,68.78000,68.12000,68.57000,64.75080,21117600
2017-07-07,68.70000,69.84000,68.70000,69.46000,65.59122,16878300
2017-07-10,69.46000,70.25000,69.20000,69.98000,66.08227,15014500
2017-07-11,70.00000,70.68000,69.75000,69.99000,66.09171,17460000
2017-07-12,70.69000,71.28000,70.55000,71.15000,67.18711,17750900
2017-07-13,71.50000,72.04000,71.31000,71.77000,67.77256,20269800
2017-07-14,72.24000,73.27000,71.96000,72.78000,68.72631,25868100
2017-07-17,72.80000,73.45000,72.72000,73.35000,69.26457,21803900
2017-07-18,73.09000,73.39000,72.66000,73.30000,69.21735,26435300
2017-07-19,73.50000,74.04000,73.45000,73.86000,69.74615,22416200
2017-07-20,74.18000,74.30000,73.28000,74.22000,70.08612,42361000
2017-07-21,73.45000,74.29000,73.17000,73.79000,69.68006,46717100
2017-07-24,73.53000,73.75000,73.13000,73.60000,69.50065,21394800
2017-07-25,73.80000,74.31000,73.50000,74.19000,70.05779,22018700
2017-07-26,74.34000,74.38000,73.81000,74.05000,69.92559,16252200
2017-07-27,73.76000,74.42000,72.32000,73.16000,69.08514,36844200
2017-07-28,72.67000,73.31000,72.54000,73.04000,68.97183,18306700
2017-07-31,73.30000,73.44000,72.41000,72.70000,68.65077,23600100
2017-08-01,73.10000,73.42000,72.49000,72.58000,68.53746,22132300
2017-08-02,72.55000,72.56000,71.44000,72.26000,68.23527,26499200
2017-08-03,72.19000,72.44000,71.85000,72.15000,68.13140,18214400
2017-08-04,72.40000,73.04000,72.24000,72.68000,68.63188,22579000
2017-08-07,72.80000,72.90000,72.26000,72.40000,68.36748,18705700
2017-08-08,72.09000,73.13000,71.75000,72.79000,68.73577,22044600
2017-08-09,72.25000,72.51000,72.05000,72.47000,68.43359,22213400
2017-08-10,71.90000,72.19000,71.35000,71.41000,67.43262,24734500
2017-08-11,71.61000,72.70000,71.28000,72.50000,68.46191,21443700
2017-08-14,73.06000,73.72000,72.95000,73.59000,69.49118,20096600
2017-08-15,73.59000,73.59000,73.04000,73.22000,69.51019,19181400
2017-08-16,73.34000,74.10000,73.17000,73.65000,69.91840,18150400
2017-08-17,73.58000,73.87000,72.40000,72.40000,68.73173,22977500
2017-08-18,72.27000,72.84000,71.93000,72.49000,68.81718,18761500
2017-08-21,72.47000,72.48000,71.70000,72.15000,68.49440,17734800
2017-08-22,72.35000,73.24000,72.35000,73.16000,69.45325,14343700
2017-08-23,72.96000,73.15000,72.53000,72.72000,69.03553,13766500
2017-08-24,72.74000,72.86000,72.07000,72.69000,69.00704,17098300
2017-08-25,72.86000,73.35000,72.48000,72.82000,69.13043,12794300
2017-08-28,73.06000,73.09000,72.55000,72.83000,69.13995,14569700
2017-08-29,72.25000,73.16000,72.05000,73.05000,69.34879,11478400
2017-08-30,73.01000,74.21000,72.83000,74.01000,70.26016,16897800
2017-08-31,74.03000,74.96000,73.80000,74.77000,70.98167,27652800
2017-09-01,74.71000,74.74000,73.64000,73.94000,70.19370,21736200
2017-09-05,73.34000,73.89000,72.98000,73.61000,69.88042,21556000
2017-09-06,73.74000,74.04000,73.35000,73.40000,69.68106,16535800
2017-09-07,73.68000,74.60000,73.60000,74.34000,70.57344,17471200
2017-09-08,74.33000,74.44000,73.84000,73.98000,70.23168,14703800
2017-09-11,74.31000,74.94000,74.31000,74.76000,70.97216,17910400
2017-09-12,74.76000,75.24000,74.37000,74.68000,70.89621,14394900
2017-09-13,74.93000,75.23000,74.55000,75.21000,71.39935,13380800
2017-09-14,75.00000,75.49000,74.52000,74.77000,70.98167,15733900
2017-09-15,74.83000,75.39000,74.07000,75.31000,71.49428,38578400
2017-09-18,75.23000,75.97000,75.04000,75.16000,71.35189,23307000
2017-09-19,75.21000,75.71000,75.01000,75.44000,71.61772,16093300
2017-09-20,75.35000,75.55000,74.31000,74.94000,71.14304,21587900
2017-09-21,75.11000,75.24000,74.11000,74.21000,70.45002,19186100
2017-09-22,73.99000,74.51000,73.85000,74.41000,70.63988,14111400
2017-09-25,74.09000,74.25000,72.92000,73.26000,69.54816,24149200
2017-09-26,73.67000,73.81000,72.99000,73.26000,69.54816,18019600
2017-09-27,73.55000,74.17000,73.17000,73.85000,70.10827,19565100
2017-09-28,73.54000,73.97000,73.31000,73.87000,70.12726,10883800
2017-09-29,73.94000,74.54000,73.88000,74.49000,70.71583,17079100
2017-10-02,74.71000,75.01000,74.30000,74.61000,70.82976,15304800
2017-10-03,74.67000,74.88000,74.19000,74.26000,70.49749,12190400
2017-10-04,74.09000,74.72000,73.71000,74.69000,70.90570,13317700
2017-10-05,75.22000,76.12000,74.96000,75.97000,72.12084,21195300
2017-10-06,75.67000,76.03000,75.54000,76.00000,72.14933,13959800
2017-10-09,75.97000,76.55000,75.86000,76.29000,72.42464,11386500
2017-10-10,76.33000,76.63000,76.14000,76.29000,72.42464,13944500
2017-10-11,76.36000,76.46000,75.95000,76.42000,72.54804,15388900
2017-10-12,76.49000,77.29000,76.37000,77.12000,73.21257,16876500
2017-10-13,77.59000,77.87000,77.29000,77.49000,73.56384,15335700
2017-10-16,77.42000,77.81000,77.35000,77.65000,73.71574,12380100
2017-10-17,77.47000,77.62000,77.25000,77.59000,73.65876,16824000
2017-10-18,77.67000,77.85000,77.37000,77.61000,73.67776,13300700
2017-10-19,77.57000,77.93000,77.35000,77.91000,73.96257,15092800
2017-10-20,78.32000,78.97000,78.22000,78.81000,74.81695,22866400
2017-10-23,78.99000,79.34000,78.76000,78.83000,74.83595,20627200
2017-10-24,78.90000,79.20000,78.46000,78.86000,74.86442,17517200
2017-10-25,78.58000,79.10000,78.01000,78.63000,74.64608,20410800
2017-10-26,79.20000,79.42000,78.75000,78.76000,74.76949,32120700
2017-10-27,84.37000,86.20000,83.61000,83.81000,79.56361,71066700
2017-10-30,83.70000,84.33000,83.11000,83.89000,79.63956,31756700
2017-10-31,84.36000,84.36000,83.11000,83.18000,78.96555,27086600
2017-11-01,83.68000,83.76000,82.88000,83.18000,78.96555,22307400
2017-11-02,83.35000,84.46000,83.12000,84.05000,79.79147,23992900
2017-11-03,84.08000,84.54000,83.40000,84.14000,79.87691,17633500
2017-11-06,84.20000,84.70000,84.08000,84.47000,80.19019,19860900
2017-11-07,84.77000,84.90000,83.93000,84.27000,80.00031,17939700
2017-11-08,84.14000,84.61000,83.83000,84.56000,80.27562,18034200
2017-11-09,84.11000,84.27000,82.90000,84.09000,79.82941,21178400
2017-11-10,83.79000,84.10000,83.23000,83.87000,79.62059,19397800
2017-11-13,83.66000,83.94000,83.46000,83.93000,79.67754,14196900
2017-11-14,83.50000,84.10000,82.98000,84.05000,79.79147,18801300
2017-11-15,83.47000,83.69000,82.69000,82.98000,79.17132,19383100
2017-11-16,83.10000,83.42000,82.94000,83.20000,79.38120,20962800
2017-11-17,83.12000,83.12000,82.24000,82.40000,78.61793,22079000
2017-11-20,82.40000,82.59000,82.25000,82.53000,78.74194,16315000
2017-11-21,82.74000,83.84000,82.74000,83.72000,79.87733,21237500
2017-11-22,83.83000,83.90000,83.04000,83.11000,79.29533,20553100
2017-11-24,83.01000,83.43000,82.78000,83.26000,79.43845,7425600
2017-11-27,83.31000,83.98000,83.30000,83.87000,80.02045,18265200
2017-11-28,84.07000,85.06000,84.02000,84.88000,80.98409,21926000
2017-11-29,84.71000,84.92000,83.18000,83.34000,79.51476,27381100
2017-11-30,83.51000,84.52000,83.34000,84.17000,80.30668,33054600
2017-12-01,83.60000,84.81000,83.22000,84.26000,80.39254,29532100
2017-12-04,84.42000,84.43000,80.70000,81.08000,77.35852,39094900
2017-12-05,81.34000,82.68000,80.98000,81.59000,77.84508,26152300
2017-12-06,81.55000,83.14000,81.43000,82.78000,78.98047,26162100
2017-12-07,82.54000,82.80000,82.00000,82.49000,78.70379,23184500
2017-12-08,83.63000,84.58000,83.33000,84.16000,80.29713,24489100
2017-12-11,84.29000,85.37000,84.12000,85.23000,81.31802,22857900
2017-12-12,85.31000,86.05000,85.08000,85.58000,81.65195,23924100
2017-12-13,85.74000,86.00000,85.17000,85.35000,81.43251,22062700
2017-12-14,85.43000,85.87000,84.53000,84.69000,80.80280,19306000
2017-12-15,85.26000,87.09000,84.88000,86.85000,82.86366,53936700
2017-12-18,87.12000,87.50000,86.23000,86.38000,82.41523,22283800
2017-12-19,86.35000,86.35000,85.27000,85.83000,81.89048,23524800
2017-12-20,86.20000,86.30000,84.71000,85.52000,81.59473,23674900
2017-12-21,86.05000,86.10000,85.40000,85.50000,81.57564,17990700
2017-12-22,85.40000,85.63000,84.92000,85.51000,81.58517,14145800
2017-12-26,85.31000,85.53000,85.03000,85.40000,81.48022,9891200
2017-12-27,85.65000,85.98000,85.22000,85.71000,81.77598,14678000
