Date,Open,High,Low,Close,Adj Close,Volume
2020-10-08,10.00000,10.00000,9.67000,9.70000,9.70000,27400
2020-10-09,9.67000,9.80000,9.67000,9.76000,9.76000,210000
2020-10-12,9.85000,9.85000,9.69000,9.70000,9.70000,19600
2020-10-13,9.71000,9.83000,9.65000,9.75000,9.75000,19800
2020-10-14,9.80000,9.80000,9.68000,9.76200,9.76200,1200
2020-10-15,9.80000,9.80000,9.70000,9.78400,9.78400,7300
2020-10-16,9.74500,9.80000,9.70000,9.80000,9.80000,110700
2020-10-19,9.75000,9.75000,9.75000,9.75000,9.75000,500
2020-10-20,9.80000,9.80000,9.73000,9.80000,9.80000,157100
2020-10-21,9.80000,9.80000,9.70000,9.72000,9.72000,177500
2020-10-22,9.80000,9.80000,9.71000,9.74000,9.74000,506700
2020-10-23,9.72000,9.74000,9.72000,9.74000,9.74000,1900
2020-10-26,9.77000,9.79000,9.70000,9.78000,9.78000,5100
2020-10-27,9.71000,9.78000,9.68000,9.75000,9.75000,7300
2020-10-28,9.71000,9.71000,9.65000,9.66000,9.66000,266500
2020-10-29,9.72000,9.74000,9.66000,9.70000,9.70000,36000
2020-10-30,9.70000,9.75000,9.64000,9.65000,9.65000,28300
2020-11-02,9.75000,9.75000,9.69000,9.69000,9.69000,11800
2020-11-03,9.67000,9.70000,9.67000,9.70000,9.70000,700
2020-11-04,9.67000,9.70000,9.67000,9.70000,9.70000,21800
2020-11-05,9.75000,9.75000,9.70000,9.70000,9.70000,14900
2020-11-06,9.70000,9.71000,9.70000,9.71000,9.71000,1200
2020-11-09,9.75000,9.75000,9.60000,9.75000,9.75000,76900
2020-11-10,9.78000,9.79000,9.75000,9.79000,9.79000,22600
2020-11-11,9.70000,9.75000,9.70000,9.75000,9.75000,16400
2020-11-12,9.73100,9.78000,9.73100,9.77000,9.77000,2000
2020-11-13,9.78000,9.78000,9.75000,9.75000,9.75000,6500
2020-11-16,9.80000,9.80000,9.69000,9.70000,9.70000,718500
2020-11-17,9.70000,9.79000,9.70000,9.75000,9.75000,109500
2020-11-18,9.70000,9.78000,9.70000,9.74000,9.74000,18500
2020-11-19,9.78000,9.88000,9.76000,9.83000,9.83000,70500
2020-11-20,9.88000,10.00000,9.86000,10.00000,10.00000,50800
2020-11-23,9.96000,10.00000,9.80000,10.00000,10.00000,64700
2020-11-24,10.00000,10.07000,9.86000,10.01000,10.01000,622800
2020-11-25,10.01000,10.08000,10.01000,10.03000,10.03000,6500
2020-11-27,10.03000,10.50000,9.90000,10.50000,10.50000,112800
2020-11-30,10.54000,10.57000,10.00000,10.15000,10.15000,265500
