Date,Open,High,Low,Close,Adj Close,Volume
2017-05-31,35.32000,35.36000,35.10000,35.36000,30.61384,7663100
2017-06-01,35.70000,35.92000,35.53000,35.89000,31.07269,6016100
2017-06-02,35.91000,36.23000,35.85000,36.18000,31.32376,5779200
2017-06-05,36.56000,36.67000,36.30000,36.39000,31.50558,4819600
2017-06-06,36.38000,36.58000,36.24000,36.43000,31.54021,5028000
2017-06-07,36.59000,36.71000,36.38000,36.46000,31.56619,6537700
2017-06-08,36.75000,36.90000,36.54000,36.83000,31.88653,7593900
2017-06-09,36.58000,36.70000,35.20000,35.79000,30.98612,12040100
2017-06-12,35.79000,35.79000,35.01000,35.24000,30.50994,11057000
2017-06-13,35.46000,35.59000,35.25000,35.56000,30.78699,4969400
2017-06-14,35.47000,35.77000,35.37000,35.65000,30.86491,7016400
2017-06-15,35.11000,35.47000,35.01000,35.44000,30.68309,4623300
2017-06-16,35.87000,35.95000,35.72000,35.87000,31.05538,7432400
2017-06-19,36.13000,36.36000,36.07000,36.21000,31.34974,4523700
2017-06-20,36.52000,36.74000,36.12000,36.13000,31.28048,4987400
2017-06-21,36.21000,36.78000,36.21000,36.71000,31.78263,6329400
2017-06-22,36.72000,36.92000,36.63000,36.71000,31.78263,6273400
2017-06-23,36.72000,36.78000,36.54000,36.73000,31.79994,5558600
2017-06-26,36.44000,36.52000,35.92000,36.13000,32.29969,10127200
2017-06-27,35.79000,35.79000,34.97000,35.09000,31.36995,8081100
2017-06-28,35.27000,35.39000,34.75000,35.35000,31.60238,8306200
2017-06-29,35.23000,35.23000,34.53000,34.81000,31.11963,7332200
2017-06-30,34.84000,35.09000,34.70000,34.96000,31.25372,5177500
2017-07-03,35.04000,35.17000,34.83000,34.88000,31.18220,4470600
2017-07-05,35.08000,35.08000,34.63000,34.82000,31.12856,9222200
2017-07-06,34.50000,34.64000,34.31000,34.50000,30.84249,6493700
2017-07-07,34.55000,34.67000,34.48000,34.63000,30.95871,7937800
2017-07-10,34.61000,35.16000,34.55000,35.00000,31.28948,7779700
2017-07-11,35.43000,35.43000,35.05000,35.38000,31.62919,9300800
2017-07-12,35.65000,35.80000,35.50000,35.69000,31.90632,9211200
2017-07-13,35.46000,36.16000,35.46000,36.15000,32.31756,9943900
2017-07-14,36.13000,36.35000,35.98000,36.25000,32.40696,7196600
2017-07-17,36.03000,36.06000,35.64000,35.91000,32.10301,4649800
2017-07-18,35.88000,36.04000,35.72000,35.87000,32.06725,6185300
2017-07-19,36.06000,36.42000,36.06000,36.41000,32.55000,7033800
2017-07-20,36.41000,36.41000,36.08000,36.10000,32.27286,6996600
2017-07-21,36.06000,36.06000,35.70000,35.85000,32.04936,5023500
2017-07-24,36.11000,36.22000,36.01000,36.22000,32.38015,6842100
2017-07-25,36.01000,36.25000,35.97000,36.10000,32.27286,5276300
2017-07-26,36.10000,36.25000,35.94000,36.22000,32.38015,4342200
2017-07-27,36.54000,36.61000,35.96000,36.18000,32.34438,7243100
2017-07-28,36.05000,36.07000,35.70000,35.86000,32.05831,3678400
2017-07-31,36.03000,36.40000,35.85000,35.96000,32.14771,7757600
2017-08-01,35.95000,35.99000,35.71000,35.84000,32.04043,5437300
2017-08-02,36.40000,36.47000,35.86000,36.07000,32.24605,6064600
2017-08-03,36.11000,36.11000,35.65000,35.79000,31.99573,3919800
2017-08-04,35.93000,36.08000,35.76000,36.03000,32.21029,4071400
2017-08-07,36.26000,36.82000,36.26000,36.79000,32.88971,4860200
2017-08-08,36.71000,36.96000,36.64000,36.70000,32.80926,3301200
2017-08-09,36.20000,36.47000,36.03000,36.46000,32.59470,3153700
2017-08-10,36.00000,36.03000,35.34000,35.34000,31.59343,5605400
2017-08-11,35.52000,36.20000,35.43000,36.14000,32.30862,4291100
2017-08-14,36.03000,36.10000,35.85000,36.05000,32.22816,3875600
2017-08-15,36.19000,36.49000,36.09000,36.42000,32.55893,3820400
2017-08-16,36.20000,36.44000,36.14000,36.34000,32.48742,3232000
2017-08-17,36.30000,36.34000,35.77000,35.79000,31.99573,3324000
2017-08-18,36.00000,36.10000,35.61000,35.86000,32.05831,3692800
2017-08-21,35.91000,36.01000,35.63000,35.98000,32.16558,3588100
2017-08-22,36.47000,36.67000,36.34000,36.52000,32.64834,3202300
2017-08-23,36.47000,36.60000,36.37000,36.58000,32.70198,2956400
2017-08-24,36.78000,36.93000,36.58000,36.83000,32.92547,4544500
2017-08-25,36.93000,37.06000,36.75000,36.85000,32.94336,2975200
2017-08-28,36.59000,36.87000,36.57000,36.77000,32.87183,2199900
2017-08-29,36.52000,36.97000,36.50000,36.88000,32.97017,2997700
2017-08-30,36.88000,37.08000,36.80000,36.93000,33.01487,2838900
2017-08-31,36.95000,36.98000,36.70000,36.97000,33.05063,4288600
2017-09-01,37.00000,37.24000,36.91000,37.22000,33.27413,4100000
2017-09-05,37.25000,37.40000,36.65000,36.85000,32.94336,7123000
2017-09-06,37.06000,37.37000,37.00000,37.27000,33.31883,4187700
2017-09-07,37.24000,37.54000,37.18000,37.54000,33.56020,3597500
2017-09-08,37.57000,37.68000,37.35000,37.50000,33.52444,5581800
2017-09-11,37.39000,37.88000,37.35000,37.84000,33.82839,6920100
2017-09-12,37.85000,37.94000,37.65000,37.86000,33.84628,3524500
2017-09-13,37.67000,37.79000,37.49000,37.53000,33.55126,4983400
2017-09-14,37.50000,37.73000,37.37000,37.38000,33.41716,5799000
2017-09-15,37.52000,37.67000,37.40000,37.65000,33.65855,7245600
2017-09-18,37.87000,38.12000,37.83000,38.07000,34.03402,6179600
2017-09-19,38.18000,38.43000,38.13000,38.30000,34.23963,6559400
